,Almaly,,Alatau,,Auezov,,Bostandyk,,Jetysu,,Medeu,,Nauryzbay,,Turksib,,Total,,,,
Total buildings,"2,813",6%,"9,690",19%,"3,129",6%,"6,559",13%,"5,209",10%,"11,461",23%,"3,063",6%,"8,620",17%,"50,544",,,,
Total occupants,"121,705",7%,"301,478",18%,"122,679",8%,"237,541",15%,"211,568",13%,"290,875",18%,"74,555",5%,"272,779",17%,"1,633,180",,,,
Total replacement cost (Million USD),"1,489",8%,"3,404",18%,"1,339",7%,"2,725",15%,"2,492",13%,"3,107",17%,838,5%,"3,112",17%,"18,507",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"$1,489,484,167",,"$3,404,273,015",,"$1,339,098,929",,"$2,725,491,250",,"$2,491,950,427",,"$3,106,618,294",,"$838,372,031",,"$3,112,182,263",,"18,507,470,376",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Almaly,,Alatau,,Auezov,,Bostandyk,,Jetysu,,Medeu,,Nauryzbay,,Turksib,,Total,,,,
Total buildings,"2,813",6%,"9,690",19%,"3,129",6%,"6,559",13%,"5,209",10%,"11,461",23%,"3,063",6%,"8,620",17%,"50,544",,,,
Total occupants,"121,705",7%,"301,478",18%,"122,679",8%,"237,541",15%,"211,568",13%,"290,875",18%,"74,555",5%,"272,779",17%,"1,633,180",,,,
Total replacement cost (Million USD),"1,489",8%,"3,404",18%,"1,339",7%,"2,725",15%,"2,492",13%,"3,107",17%,838,5%,"3,112",17%,"18,507",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Almaly,Alatau,Auezov,Bostandyk,Jetysu,Medeu,Nauryzbay,Turksib,Total,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total buildings,"2,813","9,690","3,129","6,559","5,209","11,461","3,063","8,620","50,544",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,-6%,-19%,-6%,-13%,-10%,-23%,-6%,-17%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total occupants,"121,705","301,478","122,679","237,541","211,568","290,875","74,555","272,779","1,633,180",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,-7%,-18%,-8%,-15%,-13%,-18%,-5%,-17%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total replacement cost   (Million USD),"M$1,489","M$3,404","M$1,339","M$2,725","M$2,492","M$3,107",M$838,"M$3,112","M$18,507",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,-8%,-18%,-7%,-15%,-13%,-17%,-5%,-17%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
